Season,team,team_full_name,conference,avg_age,avg_exp,avg_weight,avg_height,highest_salary,median_salary,total_salary,top_players,not_top_players,nb_championships,nb_champ_past_4y,nb_po_apperence,winner,ranking,Odds,avg_rank_last_x_years
2024,DET,Detroit Pistons,EAST,25.806451612903224,4.387096774193548,215.6129032258065,78.58064516129032,19928571,4000000.0,136207675,0,25,3,0,34,0,15.0,50000,10.0
2023,DET,Detroit Pistons,EAST,24.27272727272728,3.136363636363636,217.54545454545453,78.68181818181819,19550000,4124280.0,126605293,0,25,3,0,34,0,15.0,50000,9.6875
2022,DET,Detroit Pistons,EAST,24.11111111111111,2.4074074074074074,212.5185185185185,77.96296296296296,29764126,2824320.0,128999275,1,24,3,0,34,0,14.0,50000,9.4
2021,DET,Detroit Pistons,EAST,24.714285714285715,3.9047619047619047,215.3809523809524,77.95238095238095,32670565,2993873.5,115007448,1,19,3,0,34,0,15.0,50000,9.0
2020,DET,Detroit Pistons,EAST,25.454545454545453,3.954545454545455,210.8636363636364,77.54545454545455,34234964,2241808.0,131024108,1,22,3,0,34,0,13.0,25000,8.692307692307692
2019,DET,Detroit Pistons,EAST,26.35,4.75,217.25,77.75,32088932,2799720.0,125244035,2,17,3,0,34,0,8.0,35000,8.75
2018,DET,Detroit Pistons,EAST,26.27272727272728,4.045454545454546,217.8636363636364,78.04545454545455,29727900,2759280.0,118897722,1,20,3,0,33,0,9.0,63000,8.727272727272727
2017,DET,Detroit Pistons,EAST,25.4,3.6666666666666665,225.66666666666663,79.2,22116750,3678319.0,108968495,1,18,3,0,33,0,10.0,14000,8.6
2016,DET,Detroit Pistons,EAST,25.88235294117647,4.117647058823529,221.1176470588236,78.52941176470588,16000000,2500000.0,76638790,1,20,3,0,33,0,8.0,25000,8.666666666666666
2015,DET,Detroit Pistons,EAST,27.0,5.0,218.95,78.5,14000000,2886240.0,66738182,1,15,3,0,32,0,12.0,25000,8.25
2014,DET,Detroit Pistons,EAST,25.53333333333333,3.933333333333333,222.7333333333333,78.66666666666667,13500000,2790343.0,59657073,1,12,3,0,32,0,11.0,12500,7.857142857142857
2013,DET,Detroit Pistons,EAST,25.8125,3.875,225.25,79.4375,11046591,3233840.0,63057497,0,14,3,0,32,0,11.0,20000,7.333333333333333
2012,DET,Detroit Pistons,EAST,26.928571428571427,4.428571428571429,218.5,78.71428571428571,12500000,3250000.0,70923605,0,15,3,0,32,0,10.0,20000,6.8
2011,DET,Detroit Pistons,EAST,27.07692307692308,6.0,220.7692307692308,79.53846153846153,12500000,2798040.0,65517821,0,15,3,0,32,0,11.0,10000,5.75
2010,DET,Detroit Pistons,EAST,26.714285714285715,5.142857142857143,218.28571428571428,79.07142857142857,11625000,1805040.0,60185833,0,15,3,0,32,0,12.0,3300,3.6666666666666665
2009,DET,Detroit Pistons,EAST,27.266666666666666,5.466666666666667,215.9333333333333,78.53333333333333,20840625,2000000.0,71434174,1,12,3,0,32,0,8.0,1000,1.5
2008,DET,Detroit Pistons,EAST,27.84210526315789,5.789473684210527,215.0,79.52631578947368,12540000,2097000.0,65898875,0,16,3,0,31,0,2.0,1200,1.0
2025,GSW,Golden State Warriors,WEST,26.714285714285715,4.761904761904762,213.0,78.23809523809524,55761216,8390244.0,176598341,1,13,5,1,20,0,,3000,6.888888888888889
2024,GSW,Golden State Warriors,WEST,27.166666666666668,5.833333333333333,207.5555555555556,77.55555555555556,51915615,3352440.0,206814776,2,17,5,1,20,0,10.0,1200,6.705882352941177
2023,GSW,Golden State Warriors,WEST,26.166666666666668,5.222222222222222,209.0555555555556,78.05555555555556,48070014,2226000.0,189502439,2,19,5,1,20,0,6.0,600,6.75
2022,GSW,Golden State Warriors,WEST,27.352941176470587,5.352941176470588,204.64705882352945,77.29411764705883,45780966,2389641.0,178338220,2,17,5,1,19,1,3.0,900,7.0
2021,GSW,Golden State Warriors,WEST,25.444444444444443,3.555555555555556,210.27777777777777,77.83333333333333,43006362,1691680.0,169342796,2,16,4,1,18,0,8.0,2500,6.928571428571429
2020,GSW,Golden State Warriors,WEST,24.545454545454547,2.772727272727273,213.04545454545453,77.81818181818181,40231758,870318.5,131527930,3,15,4,2,18,0,15.0,950,6.3076923076923075
2019,GSW,Golden State Warriors,WEST,27.294117647058822,5.823529411764706,222.64705882352945,79.17647058823529,37457154,1605623.5,146186409,2,16,4,2,18,0,1.0,-168,6.75
2018,GSW,Golden State Warriors,WEST,27.764705882352946,6.705882352941177,220.35294117647047,79.70588235294117,34682550,1471382.0,135371746,1,17,4,3,17,1,2.0,-187,7.181818181818182
2017,GSW,Golden State Warriors,WEST,27.705882352941178,6.705882352941177,222.58823529411765,79.58823529411765,26540100,1171560.0,101725589,1,22,3,2,16,1,1.0,-128,7.8
2016,GSW,Golden State Warriors,WEST,27.25,6.0,224.75,79.5,15500000,3844199.0,93707197,0,16,2,1,15,0,1.0,480,8.555555555555555
2015,GSW,Golden State Warriors,WEST,26.6,5.0,223.46666666666667,79.6,15012000,1145685.0,73623654,1,18,2,1,14,1,1.0,2800,9.5
2014,GSW,Golden State Warriors,WEST,26.22222222222222,4.444444444444445,218.66666666666663,79.05555555555556,14000000,2317920.0,66764126,2,11,1,0,13,0,6.0,2500,10.0
2013,GSW,Golden State Warriors,WEST,25.166666666666668,3.388888888888889,228.38888888888889,79.11111111111111,13000000,4000000.0,69695346,0,13,1,0,12,0,6.0,15000,10.666666666666666
2012,GSW,Golden State Warriors,WEST,25.7,4.0,222.95,79.3,11610000,2956658.0,61576901,0,17,1,0,33,0,13.0,12500,10.2
2011,GSW,Golden State Warriors,WEST,25.764705882352946,3.7058823529411766,216.0,79.11764705882354,11968253,3065040.0,68415336,0,15,1,0,33,0,12.0,15000,9.75
2010,GSW,Golden State Warriors,WEST,26.25,4.1,214.8,78.8,11000000,2671440.0,65352372,0,19,1,0,33,0,13.0,12500,8.666666666666666
2009,GSW,Golden State Warriors,WEST,24.23529411764705,3.117647058823529,213.64705882352945,78.76470588235294,11000000,2103300.0,67416431,0,18,1,0,33,0,10.0,10000,8.0
2008,GSW,Golden State Warriors,WEST,25.5,4.222222222222222,219.88888888888889,79.5,16440000,1800000.0,62148303,1,18,1,0,33,0,9.0,2000,7.0
2025,HOU,Houston Rockets,WEST,25.5,3.888888888888889,220.66666666666663,78.66666666666667,42846615,9249960.0,165026987,1,14,2,0,33,0,,10000,7.111111111111111
2024,HOU,Houston Rockets,WEST,25.823529411764707,3.823529411764706,221.05882352941177,78.82352941176471,40806300,3531720.0,153204959,1,21,2,0,33,0,11.0,25000,6.882352941176471
2023,HOU,Houston Rockets,WEST,23.61111111111111,2.555555555555556,221.0,78.72222222222223,40866760,3359160.0,136542494,1,24,2,0,33,0,14.0,50000,6.4375
2022,HOU,Houston Rockets,WEST,24.42105263157895,3.263157894736842,212.0,77.26315789473684,44310840,2000000.0,129096006,1,24,2,0,33,0,15.0,50000,5.866666666666666
